"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Population estimates, July 1, by census subdivision, 2021 boundaries","17100155",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710015501",1;2;3;4;5;6;7,"CURRENT - a cube available to the public and that is current","Annual","2001-01-01","2025-01-01","1",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Saskatchewan","[47]","2952","1","",,
"1","British Columbia","[59]","4332","1","",,
"1","Yukon","[60]","5086","1","",,
"1","Northwest Territories","[61]","5124","1","",,
"1","Nunavut","[62]","5168","1","",,
"1","Nova Scotia","[12]","478","1","",,
"1","New Brunswick","[13]","576","1","",,
"1","Newfoundland and Labrador","[10]","2","1","",,
"1","Prince Edward Island","[11]","377","1","",,
"1","Manitoba","[46]","2710","1","",,
"1","Ontario","[35]","2130","1","",,
"1","Quebec","[24]","845","1","",,
"1","Alberta","[48]","3906","1","",,
"1","Census subdivisions with population under 5,000, Newfoundland and Labrador","","20","2","",,
"1","Census subdivisions with 5,000-plus population, Newfoundland and Labrador","","3","2","",,
"1","Deer Lake (T), Newfoundland and Labrador","[1005004]","19","3","",,
"1","St. John's (CY), Newfoundland and Labrador","[1001519]","4","3","",,
"1","Conception Bay South (T), Newfoundland and Labrador","[1001485]","5","3","",,
"1","Paradise (T), Newfoundland and Labrador","[1001517]","6","3","",,
"1","Mount Pearl (CY), Newfoundland and Labrador","[1001542]","7","3","",,
"1","Corner Brook (CY), Newfoundland and Labrador","[1005018]","8","3","",,
"1","Grand Falls-Windsor (T), Newfoundland and Labrador","[1006017]","9","3","",,
"1","Gander (T), Newfoundland and Labrador","[1006009]","10","3","",,
"1","Portugal Cove-St. Philip's (T), Newfoundland and Labrador","[1001504]","11","3","",,
"1","Happy Valley-Goose Bay (T), Newfoundland and Labrador","[1010025]","12","3","",,
"1","Torbay (T), Newfoundland and Labrador","[1001509]","13","3","",,
"1","Labrador City (T), Newfoundland and Labrador","[1010032]","14","3","",,
"1","Clarenville (T), Newfoundland and Labrador","[1007013]","15","3","",,
"1","Stephenville (T), Newfoundland and Labrador","[1004019]","16","3","",,
"1","Bay Roberts (T), Newfoundland and Labrador","[1001409]","17","3","",,
"1","Marystown (T), Newfoundland and Labrador","[1002024]","18","3","",,
"1","Salmon Cove (T), Newfoundland and Labrador","[1001361]","102","20","",,
"1","Division No.  5, Subd. F (SNO), Newfoundland and Labrador","[1005010]","103","20","",,
"1","Glenwood (T), Newfoundland and Labrador","[1006012]","104","20","",,
"1","Division No. 10, Subd. D (SNO), Newfoundland and Labrador","[1010029]","105","20","",,
"1","Port au Choix (T), Newfoundland and Labrador","[1009022]","106","20","",,
"1","Peterview (T), Newfoundland and Labrador","[1006021]","107","20","",,
"1","Robert's Arm (T), Newfoundland and Labrador","[1008060]","108","20","",,
"1","Norris Arm (T), Newfoundland and Labrador","[1006003]","109","20","",,
"1","Mount Moriah (T), Newfoundland and Labrador","[1005033]","110","20","",,
"1","Brigus (T), Newfoundland and Labrador","[1001446]","111","20","",,
"1","Cupids (T), Newfoundland and Labrador","[1001437]","112","20","",,
"1","L'Anse au Loup (T), Newfoundland and Labrador","[1010002]","113","20","",,
